time,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,A7,B7,C7,D7,A8,B8,C8,D8,A9,B9,C9,D9,A10,B10,C10,D10,Aaverage,Baverage,Caverage,Daverage,Anormalised,Bnormalised,Cnormalised,Dnormalised,OD_A,OD_B,OD_C,OD_D,DilutiontimeforA,DilutiontimeforB,DilutiontimeforC,DilutiontimeforD,ErrorA,ErrorB,ErrorC,ErrorD
0.0000,64,43,36,89,133,89,70,174,204,133,106,259,274,177,142,345,342,218,174,429,410,256,203,511,479,297,235,595,549,339,269,681,621,381,303,768,697,425,338,853,69.00,42.00,33.00,85.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,71,38,35,88,142,78,71,172,212,118,105,257,281,157,137,343,355,203,174,438,425,243,208,524,498,284,242,611,581,328,279,702,651,369,312,789,723,410,347,876,72,41,34,87,3,0,1,2,0.0018,0.0000,0.0010,0.0012,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.20,71,41,35,85,143,85,71,177,214,125,104,266,286,167,140,357,360,210,177,449,430,253,205,539,503,296,243,629,576,342,281,721,645,384,318,809,719,427,354,899,71,42,35,89,2,0,2,4,0.0012,0.0000,0.0020,0.0024,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.29,72,42,34,81,145,85,70,162,216,125,103,241,290,166,140,321,362,209,175,402,434,252,210,483,511,297,249,568,581,340,282,651,654,384,319,737,724,428,353,820,72,42,35,82,3,0,2,0,0.0018,0.0000,0.0020,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.37,74,43,36,85,150,91,75,171,227,131,112,250,302,172,150,336,376,218,186,419,452,263,224,506,527,308,261,591,599,352,294,671,677,399,334,759,751,439,369,843,75,43,36,84,6,1,3,0,0.0036,0.0008,0.0030,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.45,77,45,40,98,153,89,78,190,232,134,116,286,309,182,155,380,386,229,193,473,466,277,236,571,541,321,270,665,620,369,311,762,694,414,347,857,774,463,390,956,77,46,39,95,8,4,6,10,0.0048,0.0032,0.0060,0.0060,0,0,0,0,-1.60,-1.60,-1.59,-1.59
0.54,79,49,41,89,163,101,83,188,245,150,126,285,323,198,165,380,406,249,206,478,486,297,246,572,568,347,289,669,649,396,330,766,729,445,368,861,811,496,412,960,81,49,41,96,12,7,8,11,0.0072,0.0056,0.0080,0.0066,0,0,0,0,-1.59,-1.59,-1.59,-1.59
0.62,87,55,44,106,171,108,87,210,257,165,128,315,345,218,176,421,432,276,223,527,519,329,263,629,604,380,308,737,691,434,353,847,774,491,392,955,860,546,436,1064,86,54,43,106,17,12,10,21,0.0102,0.0096,0.0100,0.0126,0,0,0,0,-1.59,-1.59,-1.59,-1.59
0.70,94,59,49,122,183,116,95,232,271,178,140,338,361,234,184,440,454,290,233,550,543,349,282,661,627,403,323,770,719,464,371,883,809,523,420,998,899,578,462,1111,89,57,46,111,20,15,13,26,0.0120,0.0120,0.0130,0.0156,0,0,0,0,-1.59,-1.59,-1.59,-1.58
0.79,97,67,50,136,200,133,108,276,298,198,159,408,397,262,212,546,497,326,267,683,593,388,318,826,692,454,371,965,792,520,425,1101,888,579,476,1240,987,644,528,1378,98,64,52,137,29,22,19,52,0.0174,0.0176,0.0190,0.0312,0,0,0,0,-1.58,-1.58,-1.58,-1.57
0.87,105,71,54,156,213,139,108,310,320,211,163,457,428,285,222,606,535,356,276,746,642,423,329,886,751,495,386,1033,860,566,444,1184,968,635,498,1331,1073,704,552,1483,107,70,55,148,38,28,22,63,0.0228,0.0224,0.0220,0.0378,0,0,0,0,-1.58,-1.58,-1.58,-1.56
0.95,122,77,60,150,237,157,121,334,351,234,178,504,467,311,234,681,582,386,292,850,696,465,349,1018,813,544,409,1187,930,624,472,1356,1044,701,530,1523,1157,776,584,1691,115,77,58,169,46,35,25,84,0.0276,0.0280,0.0250,0.0504,0,0,0,0,-1.57,-1.57,-1.58,-1.55
1.04,121,78,63,152,239,168,125,311,364,257,189,472,485,338,251,623,611,422,315,782,731,511,378,932,852,595,439,1088,974,681,504,1249,1094,763,567,1409,1214,844,631,1568,121,84,63,156,52,42,30,71,0.0312,0.0336,0.0300,0.0426,0,0,0,0,-1.57,-1.57,-1.57,-1.56
1.12,130,112,69,160,259,205,136,321,390,292,204,492,522,390,272,661,654,482,341,835,785,574,415,997,914,664,481,1161,1047,758,550,1333,1179,853,621,1506,1309,947,689,1674,130,94,68,167,61,52,35,82,0.0366,0.0416,0.0350,0.0492,0,0,0,0,-1.56,-1.56,-1.57,-1.55
1.20,138,105,72,201,278,210,145,387,418,307,220,588,555,406,291,765,695,508,362,956,835,612,437,1141,973,710,508,1318,1110,812,578,1495,1243,915,647,1676,1383,1020,722,1861,138,102,72,186,69,60,39,101,0.0414,0.0480,0.0390,0.0606,0,0,0,0,-1.56,-1.55,-1.56,-1.54
1.29,147,105,76,182,296,213,154,369,447,321,234,544,594,433,311,718,743,545,388,901,894,658,468,1089,1042,773,545,1277,1188,884,621,1462,1335,993,696,1652,1483,1106,774,1847,148,110,77,184,79,68,44,99,0.0474,0.0544,0.0440,0.0594,0,0,0,0,-1.55,-1.55,-1.56,-1.54
1.37,162,135,77,222,320,259,160,438,480,393,243,640,636,509,323,838,798,636,408,1037,957,754,489,1243,1113,875,571,1444,1271,993,654,1650,1427,1114,735,1851,1584,1234,818,2058,158,123,81,205,89,81,48,120,0.0534,0.0648,0.0480,0.0720,0,0,0,0,-1.55,-1.54,-1.55,-1.53
1.45,167,118,85,218,332,248,172,411,500,380,260,619,671,514,350,839,838,645,437,1042,1003,763,524,1253,1168,892,608,1464,1334,1018,693,1672,1499,1148,777,1880,1664,1279,862,2091,166,127,86,209,97,85,53,124,0.0582,0.0680,0.0530,0.0744,0,0,0,0,-1.54,-1.53,-1.55,-1.53
1.54,173,147,91,217,349,286,184,450,529,446,279,670,704,588,370,893,882,734,465,1119,1061,874,561,1347,1240,1005,654,1578,1416,1144,749,1812,1593,1282,843,2048,1771,1422,937,2286,177,142,93,228,108,100,60,143,0.0648,0.0800,0.0600,0.0858,0,0,0,0,-1.54,-1.52,-1.54,-1.51
1.62,188,164,99,240,376,296,199,463,561,449,296,687,747,597,391,935,937,754,490,1168,1122,901,586,1411,1306,1045,682,1651,1490,1188,777,1888,1675,1335,872,2125,1858,1483,968,2364,185,148,96,236,116,106,63,151,0.0696,0.0848,0.0630,0.0906,0,0,0,0,-1.53,-1.52,-1.54,-1.51
1.70,196,155,101,274,389,292,200,518,585,467,306,805,778,624,406,1071,974,784,510,1324,1173,927,613,1578,1367,1077,716,1827,1561,1239,818,2073,1754,1402,919,2322,1952,1566,1021,2572,195,156,102,257,126,114,69,172,0.0756,0.0912,0.0690,0.1032,0,0,0,0,-1.52,-1.51,-1.53,-1.50
1.79,207,174,111,287,414,328,216,554,619,486,325,837,822,656,430,1118,1028,816,537,1393,1233,977,643,1665,1438,1146,750,1930,1642,1316,857,2198,1845,1489,967,2470,2049,1661,1076,2746,204,166,107,274,135,124,74,189,0.0810,0.0992,0.0740,0.1134,0,0,0,0,-1.52,-1.50,-1.53,-1.49
1.87,215,195,116,343,431,363,232,598,646,532,351,871,855,726,465,1142,1072,915,583,1414,1288,1091,700,1685,1503,1270,817,1967,1717,1439,933,2251,1931,1613,1047,2542,2144,1789,1163,2836,214,178,116,283,145,136,83,198,0.0870,0.1088,0.0830,0.1188,0,0,0,0,-1.51,-1.49,-1.52,-1.48
1.95,228,200,122,333,452,367,242,591,679,558,365,884,904,738,484,1217,1130,925,605,1521,1363,1115,729,1817,1592,1298,853,2118,1821,1485,977,2416,2052,1674,1100,2713,2281,1861,1222,3009,228,186,122,300,159,144,89,215,0.0954,0.1152,0.0890,0.1290,0,0,0,0,-1.50,-1.48,-1.51,-1.47
2.04,239,246,127,334,477,446,254,635,715,609,382,938,951,814,506,1238,1189,984,633,1549,1427,1181,764,1873,1672,1393,888,2203,1910,1599,1016,2532,2149,1801,1145,2855,2387,2001,1273,3175,238,200,127,317,169,158,94,232,0.1014,0.1264,0.0940,0.1392,0,0,0,0,-1.50,-1.47,-1.51,-1.46
2.12,250,191,135,256,500,395,270,561,747,579,403,830,997,772,537,1100,1246,964,674,1366,1493,1155,809,1628,1741,1352,942,1896,1989,1553,1076,2166,2239,1753,1210,2435,2489,1949,1345,2708,248,194,134,270,179,152,101,185,0.1074,0.1216,0.1010,0.1110,0,0,0,0,-1.49,-1.48,-1.50,-1.49
2.20,261,216,142,246,521,396,284,539,783,615,425,816,1039,823,564,1135,1300,1042,703,1417,1561,1260,842,1713,1821,1464,982,2009,2082,1679,1121,2291,2341,1891,1262,2574,2599,2100,1401,2859,259,210,140,285,190,168,107,200,0.1140,0.1344,0.1070,0.1200,0,0,0,0,-1.49,-1.47,-1.49,-1.48
2.29,273,256,147,283,547,524,294,525,820,738,446,810,1092,970,590,1085,1364,1187,737,1371,1638,1407,885,1659,1913,1620,1033,1954,2188,1850,1180,2250,2462,2072,1327,2547,2736,2290,1473,2843,273,229,147,284,204,187,114,199,0.1224,0.1496,0.1140,0.1194,0,0,0,0,-1.48,-1.45,-1.49,-1.48
2.37,282,223,151,267,566,460,302,562,849,680,454,880,1134,887,606,1160,1420,1122,760,1427,1709,1356,913,1715,1993,1572,1067,2003,2281,1805,1221,2306,2566,2032,1375,2609,2853,2257,1528,2912,285,225,152,291,216,183,119,206,0.1296,0.1464,0.1190,0.1236,0,0,0,0,-1.47,-1.45,-1.48,-1.48
2.45,297,240,155,281,596,473,311,611,897,674,471,930,1194,915,627,1248,1493,1162,785,1525,1793,1397,944,1827,2093,1627,1103,2138,2394,1860,1261,2441,2692,2097,1418,2751,2988,2333,1573,3062,298,233,157,306,229,191,124,221,0.1374,0.1528,0.1240,0.1326,0,0,0,0,-1.46,-1.45,-1.48,-1.47
2.54,310,222,161,367,617,545,323,678,927,772,487,987,1237,1018,653,1320,1550,1251,818,1675,1858,1499,982,2010,2170,1736,1147,2332,2484,1976,1314,2662,2796,2223,1479,3000,3109,2472,1647,3344,310,247,164,334,241,205,131,249,0.1446,0.1640,0.1310,0.1494,0,0,0,0,-1.46,-1.44,-1.47,-1.45
2.62,322,239,171,374,644,470,342,685,962,743,509,979,1284,992,678,1356,1607,1253,847,1703,1929,1503,1016,2059,2249,1750,1182,2395,2567,1994,1348,2731,2887,2242,1517,3074,3210,2498,1686,3424,321,249,168,342,252,207,135,257,0.1512,0.1656,0.1350,0.1542,0,0,0,0,-1.45,-1.43,-1.47,-1.45
