time,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,A7,B7,C7,D7,A8,B8,C8,D8,A9,B9,C9,D9,A10,B10,C10,D10,Aaverage,Baverage,Caverage,Daverage,Anormalised,Bnormalised,Cnormalised,Dnormalised,OD_A,OD_B,OD_C,OD_D,DilutiontimeforA,DilutiontimeforB,DilutiontimeforC,DilutiontimeforD,ErrorA,ErrorB,ErrorC,ErrorD
0,18,0,17,0,31,4,32,9,40,18,42,29,53,24,57,38,67,25,73,46,80,30,88,53,89,37,100,66,101,44,115,77,114,50,131,84,127,56,146,87,12.00,5.00,14.00,8.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,15,2,15,4,24,15,26,28,35,21,39,39,47,26,53,49,59,26,69,59,72,33,84,69,83,37,98,79,96,42,112,86,110,47,127,95,122,56,138,109,12,5,13,10,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.20,16,0,18,1,25,8,33,11,34,21,45,35,46,25,59,45,63,25,78,46,75,31,93,56,85,37,107,69,102,37,125,69,111,51,136,91,127,51,155,91,12,5,15,9,0,0,1,1,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.29,12,6,13,9,24,11,28,17,34,19,40,30,46,23,55,38,58,28,70,47,68,33,82,61,85,33,101,62,98,41,115,71,111,46,128,78,117,60,140,93,11,6,14,9,0,1,0,1,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.37,12,6,15,9,24,12,29,18,41,12,48,20,54,19,63,27,65,25,76,38,78,31,90,48,95,31,108,49,107,37,123,57,117,43,136,68,131,44,152,73,13,4,15,7,1,0,1,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.45,12,6,13,9,28,6,29,16,41,12,45,25,54,19,59,36,65,25,72,47,83,25,90,47,96,30,105,55,107,34,118,64,120,38,133,72,132,44,147,81,13,4,14,8,1,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.54,11,7,13,11,24,13,29,19,33,20,41,28,46,24,56,28,60,31,72,35,68,39,84,48,84,39,103,49,98,46,117,59,108,50,131,68,122,55,146,78,12,5,14,7,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.62,10,8,14,10,23,12,29,19,28,26,39,39,41,31,53,48,54,35,69,51,64,49,79,68,77,54,93,76,91,60,108,83,102,69,121,94,117,72,138,97,11,7,13,9,0,2,0,1,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.70,11,15,10,22,28,15,28,23,41,19,43,30,54,25,56,39,63,30,69,49,76,30,88,51,89,35,103,61,103,39,120,66,112,47,133,81,127,47,150,85,12,4,15,8,0,0,1,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.79,9,15,10,19,28,15,31,19,35,23,44,33,48,27,58,40,60,32,73,51,71,41,85,67,83,45,99,76,96,51,114,86,107,57,128,95,123,63,143,103,12,6,14,10,0,1,0,2,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
