time,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,A7,B7,C7,D7,A8,B8,C8,D8,A9,B9,C9,D9,A10,B10,C10,D10,Aaverage,Baverage,Caverage,Daverage,Anormalised,Bnormalised,Cnormalised,Dnormalised,OD_A,OD_B,OD_C,OD_D,DilutiontimeforA,DilutiontimeforB,DilutiontimeforC,DilutiontimeforD,ErrorA,ErrorB,ErrorC,ErrorD
0,22,7,17,10,40,15,31,32,60,23,47,41,80,30,63,50,101,37,79,60,114,52,91,81,132,61,105,92,151,67,120,103,174,67,138,105,194,74,155,113,19.00,7.00,15.00,11.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,18,8,15,10,38,15,31,20,57,19,46,29,74,24,64,38,92,29,78,46,112,34,94,55,130,39,110,64,145,51,121,84,165,57,137,93,182,61,151,101,18,6,15,10,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.20,19,6,16,11,37,12,32,21,59,14,49,26,78,20,65,36,96,32,79,51,116,38,95,60,136,44,111,70,153,50,126,81,173,56,143,91,191,61,157,106,19,6,15,10,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.29,20,5,16,10,39,11,32,21,57,19,48,30,74,32,60,53,92,37,75,60,110,42,92,70,129,48,106,80,148,53,122,90,167,57,138,93,183,71,150,116,18,7,15,11,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.37,17,6,15,9,37,12,31,17,52,24,43,32,70,30,58,41,90,35,76,50,106,45,89,64,129,45,108,67,144,54,122,82,167,58,139,84,186,63,154,94,18,6,15,9,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.45,19,6,15,10,38,13,31,21,56,21,46,32,73,25,65,34,92,30,81,44,108,36,94,53,128,43,112,61,146,49,127,68,166,54,143,77,186,60,158,84,18,6,15,8,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.54,19,3,15,12,39,13,32,20,55,27,46,40,74,32,61,50,96,35,78,55,111,50,90,75,130,54,107,76,145,68,120,96,169,69,139,98,185,78,152,116,18,7,15,11,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.62,15,8,14,11,35,12,30,21,50,19,42,32,73,19,64,32,94,26,79,44,114,32,93,53,134,39,109,64,162,40,130,67,179,50,142,81,200,55,159,88,20,5,15,8,1,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.70,20,7,15,18,41,14,31,28,59,20,46,37,80,25,62,47,99,30,82,48,113,38,95,62,132,43,110,73,149,46,124,83,167,51,140,92,188,59,156,103,18,5,15,10,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.79,23,0,19,0,41,7,34,20,56,15,48,34,74,20,63,44,91,24,79,54,107,37,92,75,125,42,108,83,145,50,124,92,163,55,140,101,183,62,155,112,18,6,15,11,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,-1.60,-1.60,-1.60,-1.60
