time,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,A7,B7,C7,D7,A8,B8,C8,D8,A9,B9,C9,D9,A10,B10,C10,D10,Aaverage,Baverage,Caverage,Daverage,Anormalised,Bnormalised,Cnormalised,Dnormalised,OD_A,OD_B,OD_C,OD_D,DilutiontimeforA,DilutiontimeforB,DilutiontimeforC,DilutiontimeforD,ErrorA,ErrorB,ErrorC,ErrorD
0,16,11,28,21,50,23,57,42,87,34,88,66,125,48,119,88,159,76,143,130,189,92,165,164,220,110,192,185,253,122,222,209,300,122,257,218,341,139,289,237,34.00,13.00,28.00,23.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,49,9,42,14,79,22,73,37,108,45,99,77,153,57,133,104,190,71,162,126,229,83,189,169,271,92,224,185,308,104,252,212,338,126,277,256,378,140,309,279,37,14,30,27,3,1,2,4,0.0012,0.0007,0.0010,0.0040,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.20,49,1,40,8,86,17,74,32,120,35,105,60,162,48,140,79,192,64,170,108,229,77,205,134,268,91,234,157,308,106,266,179,348,119,298,200,378,142,322,236,37,14,32,23,3,1,4,0,0.0012,0.0007,0.0020,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.29,43,3,38,16,70,34,62,63,104,48,91,88,144,63,124,108,179,76,153,135,218,91,186,157,250,102,215,186,286,116,247,202,323,129,278,224,345,155,305,270,34,15,30,27,0,2,2,4,0.0000,0.0014,0.0010,0.0040,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.37,40,13,29,28,82,23,59,55,117,48,86,98,154,61,115,121,196,73,148,147,233,87,177,168,277,97,210,187,311,108,238,213,352,118,272,234,387,129,302,261,38,12,30,26,4,0,2,3,0.0016,0.0000,0.0010,0.0030,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.45,37,23,25,48,81,31,57,67,119,57,83,110,167,58,123,122,203,76,149,154,246,86,181,188,286,95,216,200,326,108,248,224,365,112,284,238,397,130,312,268,39,13,31,26,5,0,3,3,0.0020,0.0000,0.0015,0.0030,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.54,41,12,28,29,85,21,59,58,121,36,87,83,168,40,121,101,207,57,148,130,249,69,178,150,288,82,208,178,329,95,239,206,368,105,269,232,398,129,293,274,39,12,29,27,5,0,1,4,0.0020,0.0000,0.0005,0.0040,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.62,42,16,29,26,87,28,60,53,123,42,88,85,171,49,122,107,210,71,149,149,253,84,182,174,293,95,210,200,335,109,242,228,383,109,280,242,422,119,312,265,42,11,31,26,8,0,3,3,0.0032,0.0000,0.0015,0.0030,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.70,51,3,38,16,92,17,68,45,132,30,96,74,179,39,137,96,220,53,169,127,262,64,198,153,308,76,229,180,343,88,257,213,386,102,291,240,425,111,322,268,42,11,32,26,8,0,4,3,0.0032,0.0000,0.0020,0.0030,0,0,0,0,-1.60,-1.60,-1.60,-1.60
0.79,37,14,32,29,79,26,63,62,134,31,101,81,175,46,131,111,218,58,161,142,259,73,192,173,297,86,218,206,340,101,250,237,381,113,280,267,423,127,311,299,42,12,31,29,8,0,3,6,0.0032,0.0000,0.0015,0.0060,0,0,0,0,-1.60,-1.60,-1.60,-1.59
0.87,41,16,32,39,90,19,66,61,133,33,98,97,178,43,130,128,211,56,159,164,253,70,191,192,290,84,221,223,330,98,254,254,370,110,282,286,412,125,314,321,41,12,31,32,7,0,3,9,0.0028,0.0000,0.0015,0.0090,0,0,0,0,-1.60,-1.60,-1.60,-1.59
0.95,45,12,31,18,87,27,62,52,118,50,88,88,177,55,124,98,209,73,148,130,261,86,177,149,302,99,206,173,343,115,232,214,386,131,264,231,423,142,295,255,42,14,29,25,8,1,1,2,0.0032,0.0007,0.0005,0.0020,0,0,0,0,-1.60,-1.60,-1.60,-1.60
1.04,39,13,29,20,77,26,60,44,118,42,92,67,170,46,127,83,206,61,157,104,243,78,185,130,278,91,215,177,318,104,247,195,363,114,279,215,413,118,316,231,41,11,31,23,7,0,3,0,0.0028,0.0000,0.0015,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
1.12,49,5,37,15,88,18,64,42,128,28,96,66,177,36,136,82,215,51,168,112,254,76,194,155,296,90,227,178,343,94,263,195,385,107,294,218,426,119,323,247,42,11,32,24,8,0,4,1,0.0032,0.0000,0.0020,0.0010,0,0,0,0,-1.60,-1.60,-1.60,-1.60
1.20,41,16,30,44,90,27,63,63,121,48,88,103,170,57,123,125,207,68,148,149,233,90,173,195,268,102,205,218,308,115,235,236,344,138,260,274,384,150,294,300,38,15,29,30,4,2,1,7,0.0016,0.0014,0.0005,0.0070,0,0,0,0,-1.60,-1.60,-1.60,-1.59
1.29,42,10,34,14,76,24,61,44,125,36,96,70,165,46,126,97,206,62,160,126,253,68,194,150,293,81,225,178,327,99,253,215,368,113,286,240,410,120,320,266,41,12,32,26,7,0,4,3,0.0028,0.0000,0.0020,0.0030,0,0,0,0,-1.60,-1.60,-1.60,-1.60
1.37,42,25,29,50,87,41,57,74,123,57,84,112,165,67,117,134,207,79,146,159,248,96,171,208,295,105,200,235,336,117,230,261,377,130,261,282,411,154,287,315,41,15,28,31,7,2,0,8,0.0028,0.0014,0.0000,0.0080,0,0,0,0,-1.60,-1.60,-1.60,-1.59
1.45,42,11,31,25,81,36,55,71,120,49,85,98,169,56,118,123,208,72,146,157,252,78,184,179,296,93,217,209,342,105,249,236,382,117,279,263,425,133,311,290,42,13,31,29,8,0,3,6,0.0032,0.0000,0.0015,0.0060,0,0,0,0,-1.60,-1.60,-1.60,-1.59
1.54,42,13,30,28,81,31,58,65,134,35,93,86,168,51,120,121,209,64,154,148,249,67,191,170,285,84,218,207,327,99,249,237,376,105,284,254,416,117,313,284,41,11,31,28,7,0,3,5,0.0028,0.0000,0.0015,0.0050,0,0,0,0,-1.60,-1.60,-1.60,-1.60
1.62,41,13,31,31,85,29,63,62,128,44,93,93,170,57,127,121,212,69,162,151,251,81,190,182,292,95,221,212,333,108,252,241,375,119,282,270,410,146,307,315,41,14,30,31,7,1,2,8,0.0028,0.0007,0.0010,0.0080,0,0,0,0,-1.60,-1.60,-1.60,-1.59
1.70,36,15,31,32,76,29,61,67,117,40,96,94,150,69,120,140,203,75,158,157,237,100,184,203,290,106,221,226,325,122,246,262,366,136,279,289,407,148,310,320,40,14,31,32,6,1,3,9,0.0024,0.0007,0.0015,0.0090,0,0,0,0,-1.60,-1.60,-1.60,-1.59
1.79,46,2,38,23,80,25,71,72,120,33,104,100,155,55,132,145,202,57,167,165,233,97,194,216,280,97,237,243,317,114,263,286,359,127,296,317,397,139,327,352,39,13,32,35,5,0,4,12,0.0020,0.0000,0.0020,0.0120,0,0,0,0,-1.60,-1.60,-1.60,-1.59
1.87,40,15,28,47,92,18,65,64,132,31,95,94,166,51,122,130,219,58,158,158,257,79,183,195,303,94,221,222,335,111,248,266,374,121,283,301,413,136,313,340,41,13,31,34,7,0,3,11,0.0028,0.0000,0.0015,0.0110,0,0,0,0,-1.60,-1.60,-1.60,-1.59
1.95,49,4,37,25,79,24,62,72,117,36,95,107,151,48,126,145,177,72,150,195,216,82,179,233,252,90,210,273,280,106,238,317,316,121,270,356,355,128,306,389,35,12,30,38,1,0,2,15,0.0004,0.0000,0.0010,0.0150,0,0,0,0,-1.60,-1.60,-1.60,-1.59
2.04,40,6,32,30,68,25,56,75,114,29,94,105,139,56,118,165,172,62,155,193,202,80,181,239,241,90,215,278,274,105,246,321,309,121,278,365,349,131,313,399,34,13,31,39,0,0,3,16,0.0000,0.0000,0.0015,0.0160,0,0,0,0,-1.60,-1.60,-1.60,-1.58
2.12,36,12,31,39,69,28,62,81,102,42,92,128,138,56,125,169,175,69,156,210,201,89,183,258,234,103,216,296,269,115,247,337,296,139,272,385,332,152,304,424,33,15,30,42,0,2,2,19,0.0000,0.0014,0.0010,0.0190,0,0,0,0,-1.60,-1.60,-1.60,-1.58
2.20,34,11,32,41,65,30,62,86,103,37,97,123,135,54,126,169,173,69,160,207,224,74,199,233,257,84,231,277,296,98,264,317,336,103,304,347,370,117,333,392,37,11,33,39,3,0,5,16,0.0012,0.0000,0.0025,0.0160,0,0,0,0,-1.60,-1.60,-1.60,-1.58
2.29,46,5,35,32,76,24,60,77,119,28,97,109,148,49,122,162,186,56,158,191,217,69,186,237,252,81,219,275,285,94,250,317,314,119,278,366,354,122,315,403,35,12,31,40,1,0,3,17,0.0004,0.0000,0.0015,0.0170,0,0,0,0,-1.60,-1.60,-1.60,-1.58
