Time (min),OD,group,ln(OD600)
0.0,-0.00176,reactorA,
7.199999999999999,-0.0005600000000000002,reactorA,
12.0,-0.0005600000000000002,reactorA,
17.4,-0.00176,reactorA,
22.2,-0.00015999999999999993,reactorA,
27.0,0.00024000000000000003,reactorA,
32.400000000000006,0.00024000000000000003,reactorA,
37.2,0.00144,reactorA,
42.0,0.00144,reactorA,
47.400000000000006,0.00144,reactorA,
52.2,0.00104,reactorA,
57.0,0.00144,reactorA,
62.400000000000006,0.00104,reactorA,
67.2,0.00144,reactorA,
72.0,-0.00015999999999999993,reactorA,
77.4,0.00104,reactorA,
82.2,0.00104,reactorA,
87.0,0.00144,reactorA,
92.4,0.00104,reactorA,
97.2,0.00104,reactorA,
102.0,0.0006399999999999997,reactorA,
107.4,0.00024000000000000003,reactorA,
112.2,0.00104,reactorA,
117.0,-0.00136,reactorA,
122.4,-0.00176,reactorA,
127.2,-0.00176,reactorA,
132.0,-0.0005600000000000002,reactorA,
137.4,-0.00136,reactorA,
142.20000000000002,-0.00176,reactorA,
147.0,-0.00136,reactorA,
152.4,-0.00096,reactorA,
157.20000000000002,-0.00176,reactorA,
162.0,-0.00096,reactorA,
167.4,-0.00015999999999999993,reactorA,
172.20000000000002,-0.0005600000000000002,reactorA,
177.0,0.00024000000000000003,reactorA,
182.4,-0.00176,reactorA,
187.20000000000002,-0.00096,reactorA,
192.0,-0.0005600000000000002,reactorA,
197.4,0.00024000000000000003,reactorA,
202.20000000000002,0.00024000000000000003,reactorA,
207.0,0.0006399999999999997,reactorA,
212.4,-0.0005600000000000002,reactorA,
217.20000000000002,0.00024000000000000003,reactorA,
222.0,-0.00015999999999999993,reactorA,
227.4,0.0006399999999999997,reactorA,
232.20000000000002,0.0006399999999999997,reactorA,
237.0,-0.00015999999999999993,reactorA,
242.4,-0.0005600000000000002,reactorA,
247.20000000000002,0.00104,reactorA,-6.868534565828856
252.0,0.0022400000000000002,reactorA,-6.101279413115188
257.4,0.0022400000000000002,reactorA,-6.101279413115188
262.2,0.0022400000000000002,reactorA,-6.101279413115188
267.0,0.00344,reactorA,-5.6722838075968305
272.4,0.00144,reactorA,-6.543112165394228
277.2,0.0030399999999999997,reactorA,-5.795897763564007
282.0,0.00344,reactorA,-5.6722838075968305
287.4,0.00344,reactorA,-5.6722838075968305
292.2,0.004240000000000001,reactorA,-5.463192009738271
297.0,0.00384,reactorA,-5.562282912382502
302.4,0.00464,reactorA,-5.373040912743973
307.2,0.00464,reactorA,-5.373040912743973
312.0,0.00584,reactorA,-5.1430244821420015
317.4,0.006240000000000001,reactorA,-5.076775096600801
322.2,0.00664,reactorA,-5.014643315493794
327.0,0.007040000000000001,reactorA,-4.956147108812186
332.4,0.009040000000000001,reactorA,-4.706096104578052
337.2,0.009040000000000001,reactorA,-4.706096104578052
342.0,0.01024,reactorA,-4.5814536593707755
347.4,0.01144,reactorA,-4.4706392930304855
352.2,0.012240000000000001,reactorA,-4.403046001897957
357.0,0.014640000000000002,reactorA,-4.223997770448971
362.4,0.014240000000000001,reactorA,-4.251700372998307
367.2,0.01664,reactorA,-4.0959458435890745
372.0,0.01864,reactorA,-3.982445469724692
377.4,0.01944,reactorA,-3.940422479949844
382.2,0.02224,reactorA,-3.8058628095997555
387.0,0.024239999999999998,reactorA,-3.7197511177810236
392.4,0.02584,reactorA,-3.655831600067736
397.2,0.02624,reactorA,-3.6404703149062487
402.0,0.02664,reactorA,-3.6253414333099485
407.4,0.029439999999999997,reactorA,-3.5254009851214616
412.2,0.03304,reactorA,-3.4100363303293597
417.0,0.03544,reactorA,-3.3399141532452568
422.4,0.037840000000000006,reactorA,-3.2743885347984594
427.2,0.04104,reactorA,-3.193208078119623
432.0,0.043840000000000004,reactorA,-3.127208636342377
437.4,0.04544,reactorA,-3.091362504569241
442.2,0.049440000000000005,reactorA,-3.0069954658327016
447.0,0.05344,reactorA,-2.9291957497537466
452.4,0.054240000000000003,reactorA,-2.9143366353499967
457.2,0.05904,reactorA,-2.82954009868992
462.0,0.06544,reactorA,-2.7266215866876453
467.4,0.06984,reactorA,-2.6615483674507905
472.2,0.07384,reactorA,-2.6058546887875402
477.0,0.08144,reactorA,-2.5078887261799245
482.4,0.08944,reactorA,-2.414187269575348
487.19999999999993,0.09344000000000001,reactorA,-2.37043575990222
491.99999999999994,0.10224,reactorA,-2.2804322883529125
497.4,0.11024,reactorA,-2.2050954717167888
502.19999999999993,0.11824,reactorA,-2.1350388217822456
506.99999999999994,0.12983999999999998,reactorA,-2.0414523557758013
512.4,0.13824,reactorA,-1.9787639739263916
517.1999999999999,0.14903999999999998,reactorA,-1.9035405526888043
522.0,0.16463999999999998,reactorA,-1.8039940068963978
527.4,0.17584,reactorA,-1.7381807883268259
532.1999999999999,0.18903999999999999,reactorA,-1.6657966461034848
537.0,0.20623999999999998,reactorA,-1.57871473979126
542.4,0.22504,reactorA,-1.4914771148005357
547.1999999999999,0.24583999999999998,reactorA,-1.403074361159908
552.0,0.26464000000000004,reactorA,-1.3293848671468105
557.4,0.27864,reactorA,-1.2778346529243914
562.1999999999999,0.30864,reactorA,-1.175579729824718
567.0,0.32504,reactorA,-1.1238070273026657
572.4,0.36464,reactorA,-1.008844713484763
577.1999999999999,0.38704,reactorA,-0.9492272321204199
582.0,0.39384,reactorA,-0.9318105435321918
587.4,0.39384,reactorA,-0.9318105435321918
592.1999999999999,0.39384,reactorA,-0.9318105435321918
597.0,0.39384,reactorA,-0.9318105435321918
602.4,0.39384,reactorA,-0.9318105435321918
607.1999999999999,0.39384,reactorA,-0.9318105435321918
612.0,0.39384,reactorA,-0.9318105435321918
617.4,0.39384,reactorA,-0.9318105435321918
622.1999999999999,0.39384,reactorA,-0.9318105435321918
627.0,0.39384,reactorA,-0.9318105435321918
632.4,0.39384,reactorA,-0.9318105435321918
637.1999999999999,0.39384,reactorA,-0.9318105435321918
642.0,0.39384,reactorA,-0.9318105435321918
647.4,0.39384,reactorA,-0.9318105435321918
652.1999999999999,0.39384,reactorA,-0.9318105435321918
657.0,0.39384,reactorA,-0.9318105435321918
662.4,0.39384,reactorA,-0.9318105435321918
667.1999999999999,0.39384,reactorA,-0.9318105435321918
672.0,0.39384,reactorA,-0.9318105435321918
677.4,0.39384,reactorA,-0.9318105435321918
682.1999999999999,0.39384,reactorA,-0.9318105435321918
687.0,0.39384,reactorA,-0.9318105435321918
692.4,0.39384,reactorA,-0.9318105435321918
697.1999999999999,0.39384,reactorA,-0.9318105435321918
702.0,0.39384,reactorA,-0.9318105435321918
707.4,0.39384,reactorA,-0.9318105435321918
712.1999999999999,0.39384,reactorA,-0.9318105435321918
717.0,0.39384,reactorA,-0.9318105435321918
722.4,0.39384,reactorA,-0.9318105435321918
727.1999999999999,0.39384,reactorA,-0.9318105435321918
732.0,0.39384,reactorA,-0.9318105435321918
737.4,0.39384,reactorA,-0.9318105435321918
742.1999999999999,0.39384,reactorA,-0.9318105435321918
747.0,0.39384,reactorA,-0.9318105435321918
752.4,0.39384,reactorA,-0.9318105435321918
757.1999999999999,0.39384,reactorA,-0.9318105435321918
762.0,0.39384,reactorA,-0.9318105435321918
767.4,0.39384,reactorA,-0.9318105435321918
772.1999999999999,0.39384,reactorA,-0.9318105435321918
777.0,0.39384,reactorA,-0.9318105435321918
782.4,0.39384,reactorA,-0.9318105435321918
787.1999999999999,0.39384,reactorA,-0.9318105435321918
792.0,0.39384,reactorA,-0.9318105435321918
797.4,0.39384,reactorA,-0.9318105435321918
802.1999999999999,0.39384,reactorA,-0.9318105435321918
807.0,0.39384,reactorA,-0.9318105435321918
812.4,0.39384,reactorA,-0.9318105435321918
817.1999999999999,0.39384,reactorA,-0.9318105435321918
822.0,0.39384,reactorA,-0.9318105435321918
827.4,0.39384,reactorA,-0.9318105435321918
832.1999999999999,0.39384,reactorA,-0.9318105435321918
837.0,0.39384,reactorA,-0.9318105435321918
842.4,0.39384,reactorA,-0.9318105435321918
847.1999999999999,0.39384,reactorA,-0.9318105435321918
852.0,0.39384,reactorA,-0.9318105435321918
857.4,0.39384,reactorA,-0.9318105435321918
862.1999999999999,0.39384,reactorA,-0.9318105435321918
867.0,0.39384,reactorA,-0.9318105435321918
872.4,0.39384,reactorA,-0.9318105435321918
877.1999999999999,0.39384,reactorA,-0.9318105435321918
882.0,0.39384,reactorA,-0.9318105435321918
887.4,0.39384,reactorA,-0.9318105435321918
892.1999999999999,0.39384,reactorA,-0.9318105435321918
897.0,0.39384,reactorA,-0.9318105435321918
902.4,0.39384,reactorA,-0.9318105435321918
907.1999999999999,0.39384,reactorA,-0.9318105435321918
912.6,0.39384,reactorA,-0.9318105435321918
917.4,0.39384,reactorA,-0.9318105435321918
922.1999999999999,0.39384,reactorA,-0.9318105435321918
927.6,0.39384,reactorA,-0.9318105435321918
932.4,0.39384,reactorA,-0.9318105435321918
937.1999999999999,0.39384,reactorA,-0.9318105435321918
942.6,0.39384,reactorA,-0.9318105435321918
947.4,0.39384,reactorA,-0.9318105435321918
952.1999999999999,0.39384,reactorA,-0.9318105435321918
957.6,0.39384,reactorA,-0.9318105435321918
962.4,0.39384,reactorA,-0.9318105435321918
967.2,0.39384,reactorA,-0.9318105435321918
972.6,0.39384,reactorA,-0.9318105435321918
977.4,0.39384,reactorA,-0.9318105435321918
982.2,0.39384,reactorA,-0.9318105435321918
987.6,0.39384,reactorA,-0.9318105435321918
992.4,0.39384,reactorA,-0.9318105435321918
997.2,0.39384,reactorA,-0.9318105435321918
1002.6,0.39384,reactorA,-0.9318105435321918
1007.4,0.39384,reactorA,-0.9318105435321918
1012.2,0.39384,reactorA,-0.9318105435321918
1017.6,0.39384,reactorA,-0.9318105435321918
1022.4,0.39384,reactorA,-0.9318105435321918
1027.2,0.39384,reactorA,-0.9318105435321918
1032.6000000000001,0.39384,reactorA,-0.9318105435321918
1037.3999999999999,0.39384,reactorA,-0.9318105435321918
1042.2,0.39384,reactorA,-0.9318105435321918
1047.6000000000001,0.39384,reactorA,-0.9318105435321918
1052.3999999999999,0.39384,reactorA,-0.9318105435321918
1057.2,0.39384,reactorA,-0.9318105435321918
1062.6000000000001,0.39384,reactorA,-0.9318105435321918
1067.3999999999999,0.39384,reactorA,-0.9318105435321918
1072.2,0.39384,reactorA,-0.9318105435321918
1077.6000000000001,0.39384,reactorA,-0.9318105435321918
1082.3999999999999,0.39384,reactorA,-0.9318105435321918
1087.2,0.39384,reactorA,-0.9318105435321918
1092.6000000000001,0.39384,reactorA,-0.9318105435321918
1097.3999999999999,0.39384,reactorA,-0.9318105435321918
1102.2,0.39384,reactorA,-0.9318105435321918
1107.6000000000001,0.39384,reactorA,-0.9318105435321918
1112.3999999999999,0.39384,reactorA,-0.9318105435321918
1117.2,0.39384,reactorA,-0.9318105435321918
1122.6000000000001,0.39384,reactorA,-0.9318105435321918
1127.3999999999999,0.39384,reactorA,-0.9318105435321918
1132.2,0.39384,reactorA,-0.9318105435321918
1137.6000000000001,0.39384,reactorA,-0.9318105435321918
1142.3999999999999,0.39384,reactorA,-0.9318105435321918
1147.2,0.39384,reactorA,-0.9318105435321918
